0.4598	-0.1006	-10.1190
0.4383	-0.0431	-10.1214
0.4455	-0.0479	-10.1142
0.4766	-0.1054	-10.1190
0.4503	-0.0814	-10.1070
0.4359	-0.0287	-10.1285
0.4551	-0.0551	-10.1118
0.4718	-0.1102	-10.1094
0.4670	-0.0790	-10.1094
0.4598	-0.0216	-10.1405
0.4622	-0.0742	-10.1118
0.4551	-0.1054	-10.1046
0.4646	-0.0383	-10.0998
0.4598	-0.0503	-10.1453
0.4574	-0.1174	-10.1214
0.4574	-0.0886	-10.1237
0.4455	-0.0527	-10.1214
0.4790	-0.0503	-10.0974
0.4646	-0.1198	-10.1022
0.4215	-0.0766	-10.1166
0.4527	-0.0599	-10.1477
0.4694	-0.1078	-10.1261
0.4551	-0.1102	-10.0950
0.4694	-0.0240	-10.1237
0.4503	-0.0335	-10.1190
0.4527	-0.0287	-10.1237
0.4455	-0.0479	-10.1118
0.4622	-0.1006	-10.1094
0.4598	-0.0886	-10.1190
0.4431	-0.0455	-10.1237
0.4574	-0.0623	-10.1261
0.4766	-0.1006	-10.0974
0.4503	-0.0623	-10.1190
0.4359	-0.0503	-10.1142
0.4694	-0.0766	-10.1214
0.4766	-0.1078	-10.1070
0.4622	-0.0551	-10.1118
0.4431	-0.0383	-10.1214
0.4503	-0.0886	-10.1190
0.4766	-0.1150	-10.1046
0.4383	-0.0671	-10.0998
0.4527	-0.0527	-10.1261
0.4814	-0.0886	-10.1070
0.4718	-0.0790	-10.1142
0.4670	-0.0599	-10.0878
0.4503	-0.0671	-10.1166
0.4598	-0.0862	-10.1070
0.4431	-0.0886	-10.1237
0.4455	-0.0886	-10.1309
0.4431	-0.0719	-10.1046
0.4622	-0.0719	-10.1118
0.4646	-0.0575	-10.1046
0.4646	-0.0551	-10.1309
0.4790	-0.0671	-10.1285
0.4574	-0.0671	-10.1357
0.4551	-0.0838	-10.1381
0.4551	-0.0910	-10.1214
0.4431	-0.0886	-10.1357
0.4359	-0.0886	-10.1261
0.4503	-0.0527	-10.1118
0.4670	-0.0599	-10.0998
0.4694	-0.0599	-10.1309
0.4574	-0.0719	-10.1190
0.4479	-0.0790	-10.1214
0.4407	-0.0910	-10.1333
0.4551	-0.1006	-10.1453
0.4598	-0.0790	-10.1261
0.4622	-0.0431	-10.0998
0.4838	-0.0431	-10.1022
0.4958	-0.0671	-10.1070
0.4551	-0.0575	-10.1309
0.4479	-0.0551	-10.1214
0.4455	-0.0862	-10.1046
0.4598	-0.1174	-10.1142
0.4622	-0.0695	-10.1190
0.4527	-0.0551	-10.1142
0.4670	-0.0551	-10.1046
0.4814	-0.0862	-10.1118
0.4766	-0.0623	-10.1285
0.4622	-0.0671	-10.1261
0.4622	-0.0719	-10.1142
0.4646	-0.0910	-10.1142
0.4527	-0.0695	-10.1214
0.4527	-0.0647	-10.1261
0.4670	-0.0766	-10.1190
0.4718	-0.0838	-10.1094
0.4598	-0.0527	-10.1237
0.4574	-0.0647	-10.1285
0.4814	-0.0790	-10.1285
0.4622	-0.0790	-10.1190
0.4455	-0.0575	-10.1118
0.4479	-0.0838	-10.1190
0.4622	-0.1006	-10.1118
0.4694	-0.0671	-10.1118
0.4646	-0.0647	-10.1118
